,Length,Height
264,264,0.13
265,265,0.15
266,266,0.11
267,267,0.15
268,268,0.125
269,269,0.215
270,270,0.2
271,271,0.205
272,272,0.225
273,273,0.155
274,274,0.215
275,275,0.185
276,276,0.24
277,277,0.205
278,278,0.135
279,279,0.185
280,280,0.105
281,281,0.12
282,282,0.14
283,283,0.175
284,284,0.17
285,285,0.155
286,286,0.155
287,287,0.125
288,288,0.16
289,289,0.18
290,290,0.21
291,291,0.165
292,292,0.175
293,293,0.195
294,294,0.085
295,295,0.075
296,296,0.085
297,297,0.14
298,298,0.105
299,299,0.095
300,300,0.175
301,301,0.1
302,302,0.1
303,303,0.13
304,304,0.06
305,305,0.03
306,306,0.24
307,307,0.125
308,308,0.145
309,309,0.19
310,310,0.14
311,311,0.195
312,312,0.2
313,313,0.175
314,314,0.11
315,315,0.19
316,316,0.1
317,317,0.155
318,318,0.095
319,319,0.06
320,320,0.04
321,321,0.1
322,322,0.07
323,323,0.105
324,324,0.09
325,325,0.1
326,326,0.13
327,327,0.105
328,328,0.09
329,329,0.155
330,330,0.12
331,331,0.08
332,332,0.04
333,333,0.195
334,334,0.19
335,335,0.19
336,336,0.185
337,337,0.185
338,338,0.195
339,339,0.145
340,340,0.205
341,341,0.185
342,342,0.18
343,343,0.155
344,344,0.14
345,345,0.16
346,346,0.08
347,347,0.115
348,348,0.15
349,349,0.185
350,350,0.17
351,351,0.14
352,352,0.17
353,353,0.17
354,354,0.205
355,355,0.185
356,356,0.19
357,357,0.215
358,358,0.18
359,359,0.18
360,360,0.15
361,361,0.175
362,362,0.15
363,363,0.175
364,364,0.16
365,365,0.145
366,366,0.12
367,367,0.18
368,368,0.215
369,369,0.165
370,370,0.195
371,371,0.2
372,372,0.17
373,373,0.15
374,374,0.195
375,375,0.19
376,376,0.16
377,377,0.175
378,378,0.185
379,379,0.18
380,380,0.145
381,381,0.135
382,382,0.12
383,383,0.135
384,384,0.105
385,385,0.155
386,386,0.135
387,387,0.125
388,388,0.12
389,389,0.1
390,390,0.125
391,391,0.125
392,392,0.095
393,393,0.095
394,394,0.1
395,395,0.14
396,396,0.145
397,397,0.15
398,398,0.15
399,399,0.12
400,400,0.135
401,401,0.11
402,402,0.14
403,403,0.12
404,404,0.15
405,405,0.115
406,406,0.12
407,407,0.145
408,408,0.095
409,409,0.165
410,410,0.12
411,411,0.12
412,412,0.12
413,413,0.17
414,414,0.14
415,415,0.17
416,416,0.165
417,417,0.155
418,418,0.14
419,419,0.165
420,420,0.12
421,421,0.135
422,422,0.07
423,423,0.07
424,424,0.175
425,425,0.165
426,426,0.16
427,427,0.125
428,428,0.17
429,429,0.175
430,430,0.155
431,431,0.17
432,432,0.14
433,433,0.1
434,434,0.15
435,435,0.095
436,436,0.095
437,437,0.09
438,438,0.165
439,439,0.11
440,440,0.1
441,441,0.14
442,442,0.1
443,443,0.105
444,444,0.19
445,445,0.185
446,446,0.185
447,447,0.175
448,448,0.15
449,449,0.215
450,450,0.16
451,451,0.195
452,452,0.155
453,453,0.175
454,454,0.14
455,455,0.175
456,456,0.105
457,457,0.11
458,458,0.135
459,459,0.1
460,460,0.17
461,461,0.07
462,462,0.055
463,463,0.07
464,464,0.05
465,465,0.19
466,466,0.195
467,467,0.21
468,468,0.2
469,469,0.135
470,470,0.12
471,471,0.12
472,472,0.12
473,473,0.16
474,474,0.175
475,475,0.115
476,476,0.175
477,477,0.225
478,478,0.185
479,479,0.185
480,480,0.155
481,481,0.125
482,482,0.15
483,483,0.145
484,484,0.14
485,485,0.13
486,486,0.15
487,487,0.135
488,488,0.165
489,489,0.145
490,490,0.13
491,491,0.155
492,492,0.175
493,493,0.195
494,494,0.15
495,495,0.175
496,496,0.165
497,497,0.155
498,498,0.175
499,499,0.18
500,500,0.225
501,501,0.225
502,502,0.19
503,503,0.19
504,504,0.175
505,505,0.235
506,506,0.225
507,507,0.18
508,508,0.155
509,509,0.185
510,510,0.14
511,511,0.145
512,512,0.085
513,513,0.07
514,514,0.08
515,515,0.115
516,516,0.08
517,517,0.09
518,518,0.09
519,519,0.05
520,520,0.09
521,521,0.115
522,522,0.055
523,523,0.06
524,524,0.04
525,525,0.04
526,526,0.155
527,527,0.16
528,528,0.095
529,529,0.185
530,530,0.13
531,531,0.12
532,532,0.11
533,533,0.14
534,534,0.13
535,535,0.14
536,536,0.075
537,537,0.07
538,538,0.115
539,539,0.14
540,540,0.115
541,541,0.115
542,542,0.115
543,543,0.105
544,544,0.075
545,545,0.065
546,546,0.045
547,547,0.16
548,548,0.18
549,549,0.16
550,550,0.155
551,551,0.165
552,552,0.12
553,553,0.125
554,554,0.15
555,555,0.15
556,556,0.165
557,557,0.17
558,558,0.145
559,559,0.105
560,560,0.12
561,561,0.115
562,562,0.15
563,563,0.13
564,564,0.065
565,565,0.13
566,566,0.125
567,567,0.08
568,568,0.115
569,569,0.14
570,570,0.135
571,571,0.155
572,572,0.14
573,573,0.15
574,574,0.14
575,575,0.14
576,576,0.175
577,577,0.15
578,578,0.175
579,579,0.175
580,580,0.15
581,581,0.19
582,582,0.14
583,583,0.1
584,584,0.125
585,585,0.17
586,586,0.145
587,587,0.14
588,588,0.12
589,589,0.15
590,590,0.115
591,591,0.175
592,592,0.18
593,593,0.15
594,594,0.18
595,595,0.14
596,596,0.14
597,597,0.145
598,598,0.195
599,599,0.145
600,600,0.11
601,601,0.1
602,602,0.115
603,603,0.14
604,604,0.125
605,605,0.09
606,606,0.13
607,607,0.1
608,608,0.09
609,609,0.17
610,610,0.05
611,611,0.075
612,612,0.125
613,613,0.145
614,614,0.135
615,615,0.14
616,616,0.085
617,617,0.075
618,618,0.055
619,619,0.08
620,620,0.14
621,621,0.115
622,622,0.105
623,623,0.105
624,624,0.16
625,625,0.095
626,626,0.095
627,627,0.145
628,628,0.085
629,629,0.115
630,630,0.12
631,631,0.125
632,632,0.13
633,633,0.1
634,634,0.09
635,635,0.1
636,636,0.085
637,637,0.12
638,638,0.13
639,639,0.085
640,640,0.18
641,641,0.16
642,642,0.095
643,643,0.13
644,644,0.12
645,645,0.075
646,646,0.145
647,647,0.12
648,648,0.125
649,649,0.065
650,650,0.09
651,651,0.13
652,652,0.08
653,653,0.11
654,654,0.075
655,655,0.165
656,656,0.17
657,657,0.195
658,658,0.185
659,659,0.18
660,660,0.17
661,661,0.13
662,662,0.105
663,663,0.12
664,664,0.095
665,665,0.12
666,666,0.15
667,667,0.155
668,668,0.145
669,669,0.145
670,670,0.155
671,671,0.165
672,672,0.15
673,673,0.15
674,674,0.18
675,675,0.145
676,676,0.115
677,677,0.165
678,678,0.1
679,679,0.1
680,680,0.14
681,681,0.115
682,682,0.185
683,683,0.14
684,684,0.185
685,685,0.15
686,686,0.125
687,687,0.17
688,688,0.15
689,689,0.15
690,690,0.075
691,691,0.115
692,692,0.12
693,693,0.02
694,694,0.09
695,695,0.05
696,696,0.1
697,697,0.12
698,698,0.105
699,699,0.105
700,700,0.135
701,701,0.105
702,702,0.115
703,703,0.125
704,704,0.14
705,705,0.09
706,706,0.09
707,707,0.13
708,708,0.09
709,709,0.08
710,710,0.1
711,711,0.055
712,712,0.085
713,713,0.08
714,714,0.065
715,715,0.07
716,716,0.06
717,717,0.035
718,718,0.025
719,719,0.025
720,720,0.16
721,721,0.15
722,722,0.13
723,723,0.08
724,724,0.11
725,725,0.085
726,726,0.105
727,727,0.125
728,728,0.12
729,729,0.13
730,730,0.13
731,731,0.12
732,732,0.13
733,733,0.12
734,734,0.125
735,735,0.115
736,736,0.125
737,737,0.135
738,738,0.09
739,739,0.205
740,740,0.09
741,741,0.15
742,742,0.14
743,743,0.13
744,744,0.13
745,745,0.2
746,746,0.14
747,747,0.13
748,748,0.175
749,749,0.105
750,750,0.12
751,751,0.17
752,752,0.165
753,753,0.175
754,754,0.185
755,755,0.155
756,756,0.19
757,757,0.155
758,758,0.12
759,759,0.15
760,760,0.155
761,761,0.135
762,762,0.19
763,763,0.145
764,764,0.15
765,765,0.13
766,766,0.095
767,767,0.155
768,768,0.17
769,769,0.165
770,770,0.14
771,771,0.115
772,772,0.135
773,773,0.14
774,774,0.165
775,775,0.145
776,776,0.14
777,777,0.14
778,778,0.145
779,779,0.165
780,780,0.15
781,781,0.145
782,782,0.125
783,783,0.06
784,784,0.175
785,785,0.13
786,786,0.135
787,787,0.16
788,788,0.165
789,789,0.16
790,790,0.135
791,791,0.18
792,792,0.165
793,793,0.16
794,794,0.145
795,795,0.155
796,796,0.11
797,797,0.16
798,798,0.11
799,799,0.135
800,800,0.125
801,801,0.13
802,802,0.1
803,803,0.135
804,804,0.12
805,805,0.07
806,806,0.125
807,807,0.13
808,808,0.115
809,809,0.14
810,810,0.13
811,811,0.055
812,812,0.06
813,813,0.085
814,814,0.08
815,815,0.08
816,816,0.09
817,817,0.07
818,818,0.085
819,819,0.135
820,820,0.14
821,821,0.095
822,822,0.095
823,823,0.1
824,824,0.095
825,825,0.095
826,826,0.1
827,827,0.1
828,828,0.11
829,829,0.1
830,830,0.1
831,831,0.115
832,832,0.1
833,833,0.1
834,834,0.13
835,835,0.12
836,836,0.125
837,837,0.135
838,838,0.105
839,839,0.125
840,840,0.125
841,841,0.125
842,842,0.14
843,843,0.13
844,844,0.125
845,845,0.14
846,846,0.135
847,847,0.125
848,848,0.15
849,849,0.15
850,850,0.145
851,851,0.155
852,852,0.15
853,853,0.13
854,854,0.14
855,855,0.165
856,856,0.13
857,857,0.15
858,858,0.16
859,859,0.16
860,860,0.14
861,861,0.175
862,862,0.155
863,863,0.175
864,864,0.175
865,865,0.16
866,866,0.175
867,867,0.15
868,868,0.15
869,869,0.165
870,870,0.16
871,871,0.165
872,872,0.155
873,873,0.2
874,874,0.165
875,875,0.17
876,876,0.15
877,877,0.165
878,878,0.165
879,879,0.175
880,880,0.165
881,881,0.205
882,882,0.17
883,883,0.19
884,884,0.16
885,885,0.17
886,886,0.155
887,887,0.195
888,888,0.16
889,889,0.22
890,890,0.23
891,891,0.05
892,892,0.055
893,893,0.065
894,894,0.05
895,895,0.055
896,896,0.06
897,897,0.075
898,898,0.08
899,899,0.08
900,900,0.095
901,901,0.07
902,902,0.075
903,903,0.07
904,904,0.09
905,905,0.075
906,906,0.085
907,907,0.075
908,908,0.075
909,909,0.075
910,910,0.07
911,911,0.1
912,912,0.095
913,913,0.095
914,914,0.09
915,915,0.08
916,916,0.09
917,917,0.09
918,918,0.09
919,919,0.09
920,920,0.115
921,921,0.1
922,922,0.1
923,923,0.1
924,924,0.1
925,925,0.09
926,926,0.12
927,927,0.115
928,928,0.13
929,929,0.09
930,930,0.11
931,931,0.13
932,932,0.13
933,933,0.105
934,934,0.11
935,935,0.105
936,936,0.125
937,937,0.12
938,938,0.1
939,939,0.105
940,940,0.115
941,941,0.115
942,942,0.11
943,943,0.125
944,944,0.12
945,945,0.12
946,946,0.125
947,947,0.12
948,948,0.115
949,949,0.145
950,950,0.1
951,951,0.12
952,952,0.115
953,953,0.125
954,954,0.135
955,955,0.135
956,956,0.135
957,957,0.12
958,958,0.135
959,959,0.125
960,960,0.13
961,961,0.15
962,962,0.125
963,963,0.125
964,964,0.135
965,965,0.1
966,966,0.135
967,967,0.15
968,968,0.145
969,969,0.14
970,970,0.155
971,971,0.14
972,972,0.14
973,973,0.13
974,974,0.15
975,975,0.125
976,976,0.135
977,977,0.14
978,978,0.14
979,979,0.155
980,980,0.14
981,981,0.16
982,982,0.13
983,983,0.155
984,984,0.155
985,985,0.15
986,986,0.14
987,987,0.17
988,988,0.16
989,989,0.16
990,990,0.15
991,991,0.18
992,992,0.15
993,993,0.145
994,994,0.13
995,995,0.155
996,996,0.16
997,997,0.145
998,998,0.155
999,999,0.15
1000,1000,0.165
1001,1001,0.14
1002,1002,0.15
1003,1003,0.15
1004,1004,0.155
1005,1005,0.165
1006,1006,0.15
1007,1007,0.155
1008,1008,0.16
1009,1009,0.18
1010,1010,0.17
1011,1011,0.175
1012,1012,0.175
1013,1013,0.165
1014,1014,0.2
1015,1015,0.155
1016,1016,0.165
1017,1017,0.15
1018,1018,0.175
1019,1019,0.185
1020,1020,0.155
1021,1021,0.17
1022,1022,0.175
1023,1023,0.155
1024,1024,0.175
1025,1025,0.175
1026,1026,0.165
1027,1027,0.175
1028,1028,0.16
1029,1029,0.15
1030,1030,0.16
1031,1031,0.21
1032,1032,0.185
1033,1033,0.16
1034,1034,0.175
1035,1035,0.185
1036,1036,0.19
1037,1037,0.195
1038,1038,0.18
1039,1039,0.165
1040,1040,0.225
1041,1041,0.195
1042,1042,0.185
1043,1043,0.175
1044,1044,0.2
1045,1045,0.175
1046,1046,0.18
1047,1047,0.205
1048,1048,0.175
1049,1049,0.185
1050,1050,0.22
1051,1051,0.22
1052,1052,0.045
1053,1053,0.045
1054,1054,0.04
1055,1055,0.04
1056,1056,0.055
1057,1057,0.065
1058,1058,0.065
1059,1059,0.055
1060,1060,0.065
1061,1061,0.085
1062,1062,0.065
1063,1063,0.08
1064,1064,0.055
1065,1065,0.085
1066,1066,0.08
1067,1067,0.1
1068,1068,0.08
1069,1069,0.1
1070,1070,0.08
1071,1071,0.095
1072,1072,0.11
1073,1073,0.1
1074,1074,0.1
1075,1075,0.105
1076,1076,0.11
1077,1077,0.095
1078,1078,0.115
1079,1079,0.12
1080,1080,0.11
1081,1081,0.115
1082,1082,0.11
1083,1083,0.105
1084,1084,0.145
1085,1085,0.11
1086,1086,0.125
1087,1087,0.12
1088,1088,0.105
1089,1089,0.1
1090,1090,0.11
1091,1091,0.115
1092,1092,0.105
1093,1093,0.125
1094,1094,0.11
1095,1095,0.1
1096,1096,0.125
1097,1097,0.125
1098,1098,0.14
1099,1099,0.12
1100,1100,0.125
1101,1101,0.125
1102,1102,0.125
1103,1103,0.125
1104,1104,0.125
1105,1105,0.125
1106,1106,0.115
1107,1107,0.125
1108,1108,0.145
1109,1109,0.135
1110,1110,0.125
1111,1111,0.15
1112,1112,0.13
1113,1113,0.14
1114,1114,0.12
1115,1115,0.12
1116,1116,0.125
1117,1117,0.125
1118,1118,0.14
1119,1119,0.135
1120,1120,0.12
1121,1121,0.14
1122,1122,0.135
1123,1123,0.15
1124,1124,0.15
1125,1125,0.145
1126,1126,0.16
1127,1127,0.155
1128,1128,0.145
1129,1129,0.15
1130,1130,0.15
1131,1131,0.175
1132,1132,0.15
1133,1133,0.145
1134,1134,0.15
1135,1135,0.145
1136,1136,0.16
1137,1137,0.14
1138,1138,0.165
1139,1139,0.135
1140,1140,0.13
1141,1141,0.17
1142,1142,0.145
1143,1143,0.15
1144,1144,0.195
1145,1145,0.135
1146,1146,0.14
1147,1147,0.145
1148,1148,0.155
1149,1149,0.145
1150,1150,0.16
1151,1151,0.15
1152,1152,0.16
1153,1153,0.17
1154,1154,0.15
1155,1155,0.155
1156,1156,0.165
1157,1157,0.14
1158,1158,0.17
1159,1159,0.165
1160,1160,0.16
1161,1161,0.145
1162,1162,0.165
1163,1163,0.17
1164,1164,0.15
1165,1165,0.155
1166,1166,0.135
1167,1167,0.2
1168,1168,0.16
1169,1169,0.175
1170,1170,0.185
1171,1171,0.155
1172,1172,0.175
1173,1173,0.015
1174,1174,0.165
1175,1175,0.195
1176,1176,0.17
1177,1177,0.19
1178,1178,0.155
1179,1179,0.16
1180,1180,0.175
1181,1181,0.185
1182,1182,0.16
1183,1183,0.17
1184,1184,0.205
1185,1185,0.215
1186,1186,0.165
1187,1187,0.155
1188,1188,0.21
1189,1189,0.17
1190,1190,0.185
1191,1191,0.18
1192,1192,0.19
1193,1193,0.19
1194,1194,0.17
1195,1195,0.18
1196,1196,0.19
1197,1197,0.19
1198,1198,0.195
1199,1199,0.2
1200,1200,0.145
1201,1201,0.185
1202,1202,0.185
1203,1203,0.185
1204,1204,0.215
1205,1205,0.21
1206,1206,0.21
1207,1207,0.205
1208,1208,0.215
1209,1209,0.12
1210,1210,0.06
1211,1211,0.065
1212,1212,0.065
1213,1213,0.09
1214,1214,0.065
1215,1215,0.07
1216,1216,0.08
1217,1217,0.07
1218,1218,0.075
1219,1219,0.095
1220,1220,0.095
1221,1221,0.09
1222,1222,0.09
1223,1223,0.095
1224,1224,0.085
1225,1225,0.075
1226,1226,0.09
1227,1227,0.085
1228,1228,0.085
1229,1229,0.085
1230,1230,0.085
1231,1231,0.09
1232,1232,0.085
1233,1233,0.095
1234,1234,0.085
1235,1235,0.09
1236,1236,0.095
1237,1237,0.08
1238,1238,0.085
1239,1239,0.11
1240,1240,0.08
1241,1241,0.09
1242,1242,0.085
1243,1243,0.095
1244,1244,0.09
1245,1245,0.095
1246,1246,0.105
1247,1247,0.095
1248,1248,0.1
1249,1249,0.1
1250,1250,0.09
1251,1251,0.11
1252,1252,0.09
1253,1253,0.11
1254,1254,0.1
1255,1255,0.09
1256,1256,0.0
1257,1257,0.095
1258,1258,0.11
1259,1259,0.12
1260,1260,0.105
1261,1261,0.105
1262,1262,0.115
1263,1263,0.1
1264,1264,0.105
1265,1265,0.105
1266,1266,0.125
1267,1267,0.11
1268,1268,0.1
1269,1269,0.18
1270,1270,0.12
1271,1271,0.1
1272,1272,0.12
1273,1273,0.11
1274,1274,0.125
1275,1275,0.115
1276,1276,0.1
1277,1277,0.12
1278,1278,0.13
1279,1279,0.12
1280,1280,0.135
1281,1281,0.135
1282,1282,0.145
1283,1283,0.14
1284,1284,0.125
1285,1285,0.14
1286,1286,0.13
1287,1287,0.12
1288,1288,0.105
1289,1289,0.12
1290,1290,0.135
1291,1291,0.135
1292,1292,0.13
1293,1293,0.125
1294,1294,0.125
1295,1295,0.155
1296,1296,0.13
1297,1297,0.155
1298,1298,0.11
1299,1299,0.13
1300,1300,0.135
1301,1301,0.15
1302,1302,0.13
1303,1303,0.15
1304,1304,0.145
1305,1305,0.14
1306,1306,0.135
1307,1307,0.15
1308,1308,0.15
1309,1309,0.135
1310,1310,0.145
1311,1311,0.125
1312,1312,0.15
1313,1313,0.14
1314,1314,0.135
1315,1315,0.14
1316,1316,0.155
1317,1317,0.14
1318,1318,0.145
1319,1319,0.135
1320,1320,0.145
1321,1321,0.155
1322,1322,0.145
1323,1323,0.175
1324,1324,0.145
1325,1325,0.15
1326,1326,0.125
1327,1327,0.145
1328,1328,0.135
1329,1329,0.135
1330,1330,0.17
1331,1331,0.13
1332,1332,0.125
1333,1333,0.135
1334,1334,0.165
1335,1335,0.155
1336,1336,0.155
1337,1337,0.135
1338,1338,0.15
1339,1339,0.155
1340,1340,0.185
1341,1341,0.16
1342,1342,0.165
1343,1343,0.165
1344,1344,0.15
1345,1345,0.18
1346,1346,0.135
1347,1347,0.18
1348,1348,0.155
1349,1349,0.15
1350,1350,0.155
1351,1351,0.17
1352,1352,0.155
1353,1353,0.15
1354,1354,0.155
1355,1355,0.145
1356,1356,0.155
1357,1357,0.15
1358,1358,0.14
1359,1359,0.13
1360,1360,0.175
1361,1361,0.16
1362,1362,0.15
1363,1363,0.165
1364,1364,0.17
1365,1365,0.15
1366,1366,0.17
1367,1367,0.16
1368,1368,0.155
1369,1369,0.165
1370,1370,0.17
1371,1371,0.165
1372,1372,0.17
1373,1373,0.175
1374,1374,0.155
1375,1375,0.175
1376,1376,0.18
1377,1377,0.15
1378,1378,0.16
1379,1379,0.17
1380,1380,0.175
1381,1381,0.16
1382,1382,0.155
1383,1383,0.17
1384,1384,0.18
1385,1385,0.145
1386,1386,0.145
1387,1387,0.16
1388,1388,0.16
1389,1389,0.165
1390,1390,0.175
1391,1391,0.17
1392,1392,0.155
1393,1393,0.23
1394,1394,0.18
1395,1395,0.16
1396,1396,0.195
1397,1397,0.16
1398,1398,0.165
1399,1399,0.22
1400,1400,0.175
1401,1401,0.19
1402,1402,0.17
1403,1403,0.19
1404,1404,0.205
1405,1405,0.19
1406,1406,0.175
1407,1407,0.21
1408,1408,0.17
1409,1409,0.18
1410,1410,0.225
1411,1411,0.175
1412,1412,0.185
1413,1413,0.205
1414,1414,0.19
1415,1415,0.13
1416,1416,0.515
1417,1417,0.215
1418,1418,0.18
1419,1419,0.17
1420,1420,0.17
1421,1421,0.215
1422,1422,0.2
1423,1423,0.19
1424,1424,0.205
1425,1425,0.215
1426,1426,0.235
1427,1427,0.25
1428,1428,0.035
1429,1429,0.06
1430,1430,0.135
1431,1431,0.08
1432,1432,0.095
1433,1433,0.085
1434,1434,0.09
1435,1435,0.09
1436,1436,0.11
1437,1437,0.09
1438,1438,0.095
1439,1439,0.09
1440,1440,0.105
1441,1441,0.095
1442,1442,0.115
1443,1443,0.105
1444,1444,0.105
1445,1445,0.105
1446,1446,0.12
1447,1447,0.11
1448,1448,0.125
1449,1449,0.135
1450,1450,0.11
1451,1451,0.14
1452,1452,0.125
1453,1453,0.12
1454,1454,0.125
1455,1455,0.115
1456,1456,0.115
1457,1457,0.125
1458,1458,0.12
1459,1459,0.085
1460,1460,0.13
1461,1461,0.12
1462,1462,0.105
1463,1463,0.135
1464,1464,0.125
1465,1465,0.145
1466,1466,0.125
1467,1467,0.125
1468,1468,0.14
1469,1469,0.13
1470,1470,0.125
1471,1471,0.14
1472,1472,0.14
1473,1473,0.16
1474,1474,0.15
1475,1475,0.15
1476,1476,0.15
1477,1477,0.15
1478,1478,0.165
1479,1479,0.175
1480,1480,0.14
1481,1481,0.15
1482,1482,0.15
1483,1483,0.15
1484,1484,0.145
1485,1485,0.16
1486,1486,0.155
1487,1487,0.2
1488,1488,0.165
1489,1489,0.16
1490,1490,0.17
1491,1491,0.17
1492,1492,0.13
1493,1493,0.155
1494,1494,0.155
1495,1495,0.165
1496,1496,0.175
1497,1497,0.18
1498,1498,0.145
1499,1499,0.175
1500,1500,0.15
1501,1501,0.15
1502,1502,0.225
1503,1503,0.145
1504,1504,0.185
1505,1505,0.205
1506,1506,0.175
1507,1507,0.155
1508,1508,0.165
1509,1509,0.175
1510,1510,0.175
1511,1511,0.16
1512,1512,0.14
1513,1513,0.215
1514,1514,0.215
1515,1515,0.165
1516,1516,0.18
1517,1517,0.2
1518,1518,0.175
1519,1519,0.19
1520,1520,0.185
1521,1521,0.17
1522,1522,0.2
1523,1523,0.17
1524,1524,0.2
1525,1525,0.165
1526,1526,0.2
1527,1527,0.24
1528,1528,0.18
1529,1529,0.18
1530,1530,0.045
1531,1531,0.055
1532,1532,0.07
1533,1533,0.085
1534,1534,0.09
1535,1535,0.08
1536,1536,0.075
1537,1537,0.075
1538,1538,0.09
1539,1539,0.095
1540,1540,0.075
1541,1541,0.075
1542,1542,0.085
1543,1543,0.095
1544,1544,0.08
1545,1545,0.095
1546,1546,0.1
1547,1547,0.09
1548,1548,0.095
1549,1549,0.09
1550,1550,0.09
1551,1551,0.1
1552,1552,0.1
1553,1553,0.09
1554,1554,0.09
1555,1555,0.1
1556,1556,0.11
1557,1557,0.08
1558,1558,0.1
1559,1559,0.11
1560,1560,0.095
1561,1561,0.11
1562,1562,0.115
1563,1563,0.11
1564,1564,0.11
1565,1565,0.12
1566,1566,0.11
1567,1567,0.125
1568,1568,0.145
1569,1569,0.1
1570,1570,0.125
1571,1571,0.125
1572,1572,0.12
1573,1573,0.16
1574,1574,0.13
1575,1575,0.115
1576,1576,0.135
1577,1577,0.125
1578,1578,0.105
1579,1579,0.12
1580,1580,0.12
1581,1581,0.14
1582,1582,0.13
1583,1583,0.11
1584,1584,0.125
1585,1585,0.105
1586,1586,0.125
1587,1587,0.125
1588,1588,0.145
1589,1589,0.13
1590,1590,0.145
1591,1591,0.12
1592,1592,0.135
1593,1593,0.14
1594,1594,0.155
1595,1595,0.12
1596,1596,0.135
1597,1597,0.145
